mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
2	1	0	0	3/4	2	1		G.I	G	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	1/4	1/4	3/4	2	1		I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
4	3	1/4	1/4	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	3/4	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
5	4	1/4	1/4	3/4	2	1		#viio2/iii	G	I		#viio2/iii	#vii	o	2		iii			o7	0	0	0, 9, 6, 3		9	0
5	4	1/2	1/2	3/4	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
6	5	0	0	3/4	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
7	6	0	0	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	6	1/4	1/4	3/4	2	1		I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
8	7	1/4	1/4	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	3/4	2	1		I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
11	9	0	0	3/4	2	1		V/vi	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
12	10	0	0	3/4	2	1		#ivo2/vi	G	I		#ivo2/vi	#iv	o	2		vi			o7	0	0	0, 9, 6, 3		9	0
12	10	1/4	1/4	3/4	2	1		V64/vi	G	I		V64/vi	V		64		vi			M	0	0	5, 4, 8		4	5
13	11	0	0	3/4	2	1		V/vi	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
14	12	0	0	3/4	2	1		#ivo2/vi	G	I		#ivo2/vi	#iv	o	2		vi			o7	0	0	0, 9, 6, 3		9	0
14	12	1/4	1/4	3/4	2	1		V64/vi	G	I		V64/vi	V		64		vi			M	0	0	5, 4, 8		4	5
15	13	0	0	3/4	2	1		V/vi	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
16	14	0	0	3/4	2	1		#ivo2/vi	G	I		#ivo2/vi	#iv	o	2		vi			o7	0	0	0, 9, 6, 3		9	0
16	14	1/4	1/4	3/4	2	1		V64/vi	G	I		V64/vi	V		64		vi			M	0	0	5, 4, 8		4	5
17	15	0	0	3/4	2	1		V/vi	G	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
18	16	0	0	3/4	2	1		#ivo2/vi	G	I		#ivo2/vi	#iv	o	2		vi			o7	0	0	0, 9, 6, 3		9	0
18	16	1/4	1/4	3/4	2	1		V64/vi\\	G	I		V64/vi	V		64		vi		\\	M	0	0	5, 4, 8		4	5
19	17	0	0	3/4	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
20	18	0	0	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	18	1/4	1/4	3/4	2	1		I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
21	19	1/4	1/4	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	20	0	0	3/4	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
22	20	1/4	1/4	3/4	2	1		#viio2/iii	G	I		#viio2/iii	#vii	o	2		iii			o7	0	0	0, 9, 6, 3		9	0
22	20	1/2	1/2	3/4	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
23	21	0	0	3/4	2	1		I	G	I		I	I							M	0	0	0, 4, 1		0	0
24	22	0	0	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	22	1/4	1/4	3/4	2	1		I64	G	I		I64	I		64					M	0	0	1, 0, 4		0	1
25	23	1/4	1/4	3/4	2	1		V7	G	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
26	24	0	0	3/4	2	1		I\\	G	I		I	I						\\	M	0	0	0, 4, 1		0	0
28	25	0	0	3/4	2	1		IV.I	G	IV		I	I							M	0	0	0, 4, 1		0	0
29	26	0	0	3/4	2	1		IV6	G	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
29	26	1/4	1/4	3/4	2	1		I64	G	IV		I64	I		64					M	0	0	1, 0, 4		0	1
30	27	3/8	3/8	3/4	2	1		V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
30	27	1/2	1/2	3/4	2	1		V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
31	28	0	0	3/4	2	1		I	G	IV		I	I							M	0	0	0, 4, 1		0	0
32	29	0	0	3/4	2	1		I	G	IV		I	I							M	0	0	0, 4, 1		0	0
33	30	0	0	3/4	2	1		IV6	G	IV		IV6	IV		6					M	0	0	3, 0, -1		-1	3
33	30	1/4	1/4	3/4	2	1		I64	G	IV		I64	I		64					M	0	0	1, 0, 4		0	1
34	31	3/8	3/8	3/4	2	1		V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
34	31	1/2	1/2	3/4	2	1		V7	G	IV		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
35	32	0	0	3/4	2	1	1	I\\	G	IV		I	I						\\	M	0	0	0, 4, 1		0	0
36	32	0	0	3/4	2	1	2	I\\	G	IV		I	I						\\	M	0	0	0, 4, 1		0	0
