mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	3/4	2	1	g.V	g	i		V		V							M	1	1	1, 5, 2		1	1
2	1	0	0	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	2	0	0	3/4	2	1	i[i	g	i	i	i		i							m	1	1	0, -3, 1		0	0
4	3	0	0	3/4	2	1	iv64	g	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
4	3	1/2	1/2	3/4	2	1	#viio43	g	i	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
5	4	0	0	3/4	2	1	i]	g	i	i	i		i							m	1	1	0, -3, 1		0	0
6	5	0	0	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
7	6	0	0	3/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
8	7	0	0	3/4	2	1	ii%2/V	g	i		ii%2/V		ii	%	2		V			%7	1	1	1, 3, 0, -3		3	1
8	7	1/2	1/2	3/4	2	1	VM7	g	i		VM7		V	M	7					MM7	1	1	1, 5, 2, 6		1	1
9	8	0	0	3/4	2	1	V\\	g	i		V		V						\\	M	1	1	1, 5, 2		1	1
10	9	0	0	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	9	1/2	1/2	3/4	2	1	V7(6)	g	i		V7(6)		V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
10	9	5/8	5/8	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	10	0	0	3/4	2	1	i[i	g	i	i	i		i							m	1	1	0, -3, 1		0	0
12	11	0	0	3/4	2	1	iv64	g	i	i	iv64		iv		64					m	1	1	0, -1, -4		-1	0
12	11	1/2	1/2	3/4	2	1	#viio43	g	i	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
13	12	0	0	3/4	2	1	i]	g	i	i	i		i							m	1	1	0, -3, 1		0	0
14	13	0	0	3/4	2	1	V7	g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	14	0	0	3/4	2	1	i	g	i		i		i							m	1	1	0, -3, 1		0	0
16	15	0	0	3/4	2	1	ii%2/V	g	i		ii%2/V		ii	%	2		V			%7	1	1	1, 3, 0, -3		3	1
16	15	1/2	1/2	3/4	2	1	VM7	g	i		VM7		V	M	7					MM7	1	1	1, 5, 2, 6		1	1
17	16	0	0	3/4	2	1	V\\	g	i		V		V						\\	M	1	1	1, 5, 2		1	1
18	17	0	0	3/4	2	1	III.V	g	III		V		V							M	1	0	1, 5, 2		1	1
18	17	1/4	1/4	3/4	2	1	V7(4)	g	III		V7(4)		V		7	4				Mm7	1	0	1, 0, 2, -1		1	1
18	17	1/2	1/2	3/4	2	1	V7	g	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
