mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	3/4	2	1		D.V{	D	I		V	V						{	M	0	0	1, 5, 2		1	1
2	1	1	1	3.0	0	0	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
3	2	4	4	1.0	0	0	3/4	2	1		V7(6)	D	I		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
3	2	5	5	2.0	1/4	1/4	3/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	7	7	3.0	0	0	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
5	4	10	10	2.0	0	0	3/4	2	1		V|HC	D	I		V	V					HC		M	0	0	1, 5, 2		1	1
5	4	12	12	1.0	1/2	1/2	3/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
6	5	13	13	3.0	0	0	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
7	6	16	16	1.0	0	0	3/4	2	1		ii6(2)	D	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
7	6	17	17	2.0	1/4	1/4	3/4	2	1		ii6	D	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
8	7	19	19	3.0	0	0	3/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
9	8	22	22	6.0	0	0	3/4	2	1		I|PAC}	D	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
10	9	25	25	0.0	0	0	3/4	2	1		{	D	I									{		0	0				
11	10	28	28	1.0	0	0	3/4	2	1		V7(6)	D	I		V7(6)	V		7	6				Mm7	0	0	1, 5, 4, -1		1	1
11	10	29	29	2.0	1/4	1/4	3/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	11	31	31	3.0	0	0	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
13	12	34	34	2.0	0	0	3/4	2	1		V|HC	D	I		V	V					HC		M	0	0	1, 5, 2		1	1
13	12	36	36	1.0	1/2	1/2	3/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
14	13	37	37	3.0	0	0	3/4	2	1		I	D	I		I	I							M	0	0	0, 4, 1		0	0
15	14	40	40	1.0	0	0	3/4	2	1		ii6(2)	D	I		ii6(2)	ii		6	2				m	0	0	-1, 3, 4		2	-1
15	14	41	41	2.0	1/4	1/4	3/4	2	1		ii6	D	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
16	15	43	43	3.0	0	0	3/4	2	1		V7	D	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	46	46	3.0	0	0	3/4	2	1		I|PAC}	D	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
